,distance,elapsed_time,elevation_difference,moving_time,split,average_speed,average_grade_adjusted_speed,pace_zone
0,1002.8,390,5.4,6.5,1,9.251999999999999,2.71,0
1,1001.0,381,-2.6,6.35,2,9.468,2.74,0
2,996.8,377,-0.6,6.283333333333333,3,9.504000000000001,2.79,0
3,999.5,391,-5.1,6.466666666666667,4,9.288,2.64,0
4,1001.0,377,4.5,6.233333333333333,5,9.648000000000001,2.87,0
0,1000.9,375,1.3,6.2,1,9.684,2.84,0
1,1001.8,383,-6.3,6.383333333333334,2,9.432,2.67,0
2,999.2,391,4.3,6.516666666666667,3,9.216000000000001,2.75,0
3,998.1,379,-2.4,6.316666666666666,4,9.468,2.73,0
4,1001.0,369,1.8,6.15,5,9.756,2.85,0
0,1003.5,376,0.8,6.266666666666667,1,9.612,2.8,0
1,997.2,370,-5.7,6.166666666666667,2,9.72,2.74,0
2,1004.1,372,5.2,6.2,3,9.72,2.89,0
3,997.7,370,-3.5,6.166666666666667,4,9.72,2.76,0
4,1001.0,363,2.1,6.05,5,9.936,2.87,0
0,1002.3,372,4.5,6.2,1,9.684,2.83,0
1,1000.2,368,-1.7,6.133333333333334,2,9.792000000000002,2.83,0
2,998.5,368,3.6,6.133333333333334,3,9.756,2.88,0
3,1001.0,368,-5.9,6.133333333333334,4,9.792000000000002,2.76,0
0,1000.6,411,0.1,6.85,1,8.748000000000001,2.56,0
1,1000.7,390,-4.9,6.5,2,9.251999999999999,2.61,0
2,999.0,380,6.1,6.333333333333333,3,9.468,2.82,0
3,1001.6,371,-3.2,6.183333333333334,4,9.72,2.77,0
4,1000.0,361,2.6,6.016666666666667,5,9.972,2.9,0
0,1001.2,366,2.5,6.1,1,9.864,2.85,0
1,1001.9,379,0.1,6.216666666666667,2,9.684,2.81,0
2,998.9,371,-1.7,6.183333333333334,3,9.684,2.83,0
3,1001.0,383,0.0,6.383333333333334,4,9.395999999999999,2.7,0
4,999.2,387,1.6,6.45,5,9.288,2.73,0
5,998.1,385,-2.2,6.416666666666667,6,9.324,2.67,0
6,1000.3,362,1.0,5.983333333333333,7,10.044,2.92,0
0,1003.1,386,0.9,6.366666666666666,1,9.468,2.77,0
1,1000.6,380,-5.4,6.283333333333333,2,9.54,2.7,0
2,998.9,375,4.9,6.25,3,9.576,2.84,0
3,997.5,376,-3.6,6.266666666666667,4,9.54,2.72,0
4,999.9,364,2.6,6.066666666666666,5,9.9,2.86,0
0,1001.0,363,1.2,5.983333333333333,1,10.044,2.95,0
1,999.6,361,-6.5,6.016666666666667,2,9.972,2.82,0
2,1001.6,364,5.6,6.066666666666666,3,9.9,2.97,0
3,1001.5,361,-3.6,6.016666666666667,4,9.972,2.86,0
0,1000.5,389,1.3,6.483333333333333,1,9.251999999999999,2.71,0
1,1002.2,375,-6.4,6.25,2,9.612,2.71,0
2,997.3,374,7.3,6.183333333333334,3,9.684,2.89,0
3,1000.1,373,-3.8,6.216666666666667,4,9.648000000000001,2.75,0
0,1001.8,375,1.0,6.2,1,9.684,2.83,0
1,998.7,375,-6.1,6.2,2,9.648000000000001,2.73,0
2,1002.5,376,5.1,6.2,3,9.684,2.9,0
3,997.1,375,-1.4,6.25,4,9.576,2.75,0
4,1002.4,377,2.7,6.233333333333333,5,9.648000000000001,2.81,0
5,1000.2,356,-0.8,5.933333333333334,6,10.116,2.95,0
